,cartoon_names,release_date,end_date,Genres,imdb_score,runtime
76,Curious George,2006,2022,"Anime, Short, Adventure",7.2,16.0
77,64 Zoo Lane,1999,2013,"Anime, Comedy, Family",6.5,14.0
78,Jakers! The Adventures of Piggley Winks,2003,2007,"Anime, Short, Adventure",6.8,4.0
79,Postman Pat,1981,2017,"Anime, Comedy, Family",6.3,36.0
80,Brum,1991,2002,"Anime, Comedy, Family",6.1,11.0
81,George Shrinks,2000,2003,"Anime, Comedy, Family",6.6,3.0
82,Ben & Holly's Little Kingdom,2009,2013,"Anime, Adventure, Comedy",7.4,4.0
83,Franklin,1997,2006,"Anime, Comedy, Family",6.4,9.0
84,The Berenstain Bears,2002,2004,"Anime, Comedy, Family",7.2,2.0
85,Little Bill,1999,2004,"Anime, Comedy, Family",6.4,5.0
86,Dragon Tales,1999,2005,"Anime, Adventure, Drama",6.3,6.0
87,Blue's Clues,1996,2020,"Anime, Comedy, Family",6.9,24.0
88,Little Bear,1995,2003,"Anime, Adventure, Family",7.3,8.0
89,Rolie Polie Olie,1998,2007,"Anime, Comedy, Family",6.3,9.0
90,Oswald,2001,2003,"Anime, Family, Musical",7.5,2.0
91,Oobi,2000,2005,"Anime, Comedy, Family",7.4,5.0
92,Barney & Friends,1992,2010,"Anime, Comedy, Family",3.8,18.0
93,Teletubbies,1997,2001,"Family, Fantasy, Musical",3.7,4.0
94,Noddy,1998,2000,"Anime, Comedy, Family",5.6,2.0
95,Blaze and the Monster Machines,2014,2022,"Anime, Action, Adventure",5.5,8.0
96,Dragon Ball,1995,2003,"Anime, Action, Adventure",8.6,8.0
97,Dragon Ball: Doragon bôru,1986,1989,"Anime, Action, Adventure",8.6,3.0
98,Superman,1952,1958,"Action, Adventure, Crime",7.7,6.0
99,Lois and Clark: The New Adventures of Superman,1993,1997,"Adventure, Comedy, Drama",6.7,4.0
100,Superboy,1988,1992,"Adventure, Fantasy, SciFi",6.0,4.0
101,Superman,1996,2000,"Anime, Action, Adventure",8.1,4.0
102,Rusty Rivets,2016,2020,"Anime, Comedy, Family",5.1,4.0
103,Pingu,1980,2006,"Anime, Short, Comedy",7.4,26.0
104,Bear in the Big Blue House,1997,2006,"Comedy, Drama, Family",6.8,9.0
105,Thomas the Tank Engine & Friends,1984,2021,"Anime, Short, Adventure",6.5,37.0
106,Bananas in Pyjamas,1992,2001,"Anime, Comedy, Family",5.5,9.0
107,Fireman Sam,1997,2022,"Anime, Comedy, Family",6.1,25.0
108,Zoboomafoo,1999,2001,"Anime, Comedy, Family",7.6,2.0
109,"Sagwa, the Chinese Siamese Cat",2001,2004,"Anime, Adventure, Comedy",7.2,3.0
110,Creative Galaxy,2013,2019,"Anime, Family, SciFi",5.0,6.0
111,Dinosaur Train,2009,2020,"Anime, Comedy, Family",6.4,11.0
112,The Koala Brothers,2003,2007,"Anime, Adventure, Comedy",6.8,4.0
113,The Adventures of Spot,1987,1993,"Anime, Adventure, Family",6.6,6.0
114,Art Attack,1990,2007,"Anime, Comedy, Family",7.4,17.0
115,PB&J Otter,1998,2001,"Anime, Comedy, Family",6.9,3.0
116,The Muppet Show,1976,1981,"Comedy, Family, Musical",8.4,5.0
117,The Lion Guard,2015,2022,"Anime, Action, Adventure",6.4,7.0
118,Elena of Avalor,2016,2020,"Anime, Action, Adventure",6.3,4.0
119,Rupert,1991,2020,"Anime, Adventure, Family",7.0,29.0
120,Kipper,1997,2000,"Anime, Short, Comedy",7.0,3.0
121,Baby Looney Tunes,2001,2005,"Anime, Adventure, Comedy",6.1,4.0
122,"Ni Hao, Kai-Lan",2007,2011,"Anime, Family, Fantasy",5.1,4.0
123,The Adventures of Paddington Bear,1997,2000,"Anime, Adventure, Family",7.0,3.0
124,Paddington,1976,1993,"Anime, Comedy, Family",7.1,17.0
125,The Animals of Farthing Wood,1993,1995,"Anime, Adventure, Drama",8.3,2.0
126,Tiny Toon Adventures,1990,1995,"Anime, Short, Adventure",7.5,5.0
127,The Stinky & Dirty Show,2015,2019,"Anime, Comedy, Family",7.4,4.0
128,Noddy's Toyland Adventures,1992,1999,"Anime, Comedy, Family",6.0,7.0
129,The Wombles,1973,1975,"Anime, Comedy, Family",6.9,2.0
130,The Clangers,1969,1974,"Anime, Family, SciFi",7.4,5.0
131,Rainbow,1972,1992,"Anime, Family, TalkShow",6.9,20.0
132,Mr Benn,1971,2005,"Anime, Comedy, Family",7.5,34.0
133,Ivor the Engine,1976,1977,"Anime, Comedy, Family",7.4,1.0
134,Il était une fois... l'homme,1978,1981,"Anime, Adventure, Drama",8.1,3.0
135,Animaniacs,1993,1998,"Anime, Short, Adventure",7.9,5.0
136,Special Agent Oso,2009,2012,"Anime, Action, Adventure",5.1,3.0
137,Jake and the Never Land Pirates,2011,2016,"Anime, Adventure, Family",5.6,5.0
138,Imagination Movers,2008,2013,"Anime, Comedy, Family",7.1,5.0
139,Doc McStuffins,2012,2020,"Anime, Family, Fantasy",6.6,8.0
140,Henry Hugglemonster,2013,2015,"Anime, Adventure, Family",5.0,2.0
141,Higglytown Heroes,2004,2008,"Anime, Comedy, Family",4.8,4.0
142,Chuggington,2008,2021,"Anime, Adventure, Comedy",5.8,13.0
143,Yo Gabba Gabba!,2007,2020,"Comedy, Drama, Family",6.8,13.0
144,Pinky Dinky Doo,2005,2009,"Anime, Family, Fantasy",6.2,4.0
145,Out of the Box,1998,2004,"Family, Fantasy, Musical",7.4,6.0
146,Tumble Leaf,2013,2019,"Anime, Short, Adventure",8.6,6.0
147,Wishenpoof,2014,2019,"Anime, Family, Fantasy",5.0,5.0
148,The Adventures of Blinky Bill,1993,2004,"Anime, Adventure, Comedy",6.3,11.0
149,Fraggle Rock,1983,1987,"Anime, Adventure, Comedy",7.9,4.0
150,Miles From Tomorrowland,2015,2018,"Anime, Adventure, Family",6.4,3.0
151,Lazy Town,2002,2014,"Adventure, Comedy, Family",5.9,12.0
152,Sooty & Co.,1993,1998,"Adventure, Comedy, Family",6.9,5.0
153,Noah's Island,1997,1999,"Adventure, Anime, Family",7.3,2.0
154,Button Moon,1980,1988,"Anime, Comedy, Family",7.0,8.0
155,DuckTales,1987,1990,"Anime, Action, Adventure",8.1,3.0
156,Adventures of the Gummi Bears,1985,1991,"Anime, Adventure, Family",7.5,6.0
157,Goof Troop,1992,1993,"Anime, Adventure, Comedy",6.8,1.0
158,Taz-Mania,1991,1995,"Anime, Adventure, Comedy",6.7,4.0
159,The Jetsons,1962,1963,"Anime, Comedy, Family",7.0,1.0
160,Pinky and the Brain,1995,1998,"Anime, Short, Adventure",7.8,3.0
161,Chip 'n Dale: Rescue Rangers,1988,1990,"Anime, Action, Adventure",7.5,2.0
162,TaleSpin,1990,1991,"Anime, Action, Adventure",7.6,1.0
163,Rapunzel: Serüvenler,2017,2020,"Anime, Action, Adventure",7.6,3.0
164,Sheriff Callie's Wild West,2013,2017,"Anime, Action, Adventure",6.3,4.0
165,Miss Spider's Sunny Patch Friends,2004,2008,"Anime, Adventure, Drama",6.4,4.0
166,VeggieTales in the House,2014,2016,"Anime, Short, Adventure",4.1,2.0
167,ChalkZone,2002,2009,"Anime, Short, Adventure",6.5,7.0
168,Sofia the First,2012,2018,"Anime, Adventure, Family",6.8,6.0
169,Annedroids,2013,2017,"Anime, Family, SciFi",5.9,4.0
170,Shimmer and Shine,2015,2020,"Anime, Adventure, Family",5.0,5.0
171,Lost in Oz,2015,2018,"Anime, Family, Fantasy",7.5,3.0
172,Goldie and Bear,2015,2018,"Anime, Family, Fantasy",6.1,3.0
173,Mickey and the Roadster Racers,2017,2021,"Anime, Short, Adventure",6.0,4.0
174,Inspecteur Gadget,1983,1986,"Anime, Short, Adventure",6.7,3.0
175,Pee-wee's Playhouse,1986,1991,"Anime, Comedy, Musical",8.1,5.0
